,
01_prenom,02_genre
bronagh,f
bronislav,m
bronislava,f
bronislaw,m
bronislawa,f
bronte,m
bronwen,f
bronwyn,f
brook,"m,f"
brooke,"f,m"
brooklyn,f
brooks,m
bruce,m
bruna,f
Brune,f
brunella,f
brunette,f
brunhilde,f
Bruno,m
brutus,m
Bryan,m
bryana,f
bryanna,f
bryant,m
bryce,m
bryn,"m,f"
brynja,f
brynmor,m
brynn,"m,f"
brynne,f
bryony,f
bryson,m
buck,m
bud,m
buddy,m
budur,f
buffy,f
bulus,m
bulut,m
burcu,f
burgundy,f
burkhard,m
burt,m
burton,m
buster,m
buz,m
byelobog,m
byrne,m
byron,m
bysshe,m
cäcilia,f
cade,m
cadell,m
caden,m
cadence,"f,m"
cadeyrn,m
cadfael,m
cadfan,m
cadi,f
cadoc,m
cadogan,m
cadwalader,m
cadwgawn,m
caecilia,f
caedmon,m
caelestis,m
caelie,f
caerwyn,m
caesar,m
caetano,m
caetlin,f
cahal,m
cahir,m
cai,m
cailean,m
caileigh,f
cailin,f
cain,m
cainan,m
cairbre,m
cairo,m
caitlin,f
caitlyn,f
caitria,f
caitríona,f
caitrìona,f
caius,m
cajsa,f
cal,m
calanthe,f
calanthia,f
calbhach,m
caleb,m
caleigh,f
caligula,m
Calista,f
calisto,f
calix,m
Calixte,m
calla,f
callahan,m
callias,m
callie,f
calliope,f
callista,f
callisto (1),m
callisto (2),f
callistus,m
callum,m
calogera,f
calogero,m
calum,m
calvagh,m
Calvin,m
calvino,m
calypso,f
cambria,f
camden,m
Camelia,f
Camélia,f
camellia,f
Cameron,m
Camil,m
Camila,f
Camilia,f
camilla,f
Camille,f
camillo,m
camillus,m
camilo,m
cammie,f
campbell,m
camron,m
camryn,f
can,m
canan,f
candace,f
cande,f
candela,f
candelaria,f
candelario,m
candelas,f
candi,f
Candice,f
candida,f
candis,f
candy,f
canute,m
caoilainn,f
caoilfhionn,f
caoimhe,f
caoimhín,m
caolan,m
caprice,f
capricia,f
caprina,f
Capucine,f
cara,f
caradoc,m
caradog,m
caramia,f
caratacus,m
carbrey,m
carbry,m
cardea,f
careen,f
caren,f
carey,"m,f"
cari,f
caridad,f
carin,f
carina,f
Carine,f
caris,f
carissa,f
carita,f
Carl,m
Carla,f
carlene,f
carles,m
carley,f
carlie,f
carlisa,f
carlisle,m
carlito,m
carlitos,m
carlo,m
carlos,m
Carlotta,f
carlton,m
carly,f
carlyle,m
carlyn,f
carmel,f
carmela,f
carmelita,f
carmella,f
carmelo,m
Carmen,f
carmi,m
carmina,f
carmine,m
carmo,f
carol,"f,m"
carola,f
carole,f
Carolina,f
Caroline,f
carolus,m
Carolyn,f
caron,f
carpus,m
carran,m
carreen,f
carrie,f
carrol,m
carroll,m
carry,f
carson,"m,f"
carsten,m
carter,m
carwyn,m
cary,"m,f"
caryl,f
caryn,f
carys,f
casey,"m,f"
casimir,m
casimiro,m
caspar,m
casper,m
cass,f
Cassandra,f
Cassandre,f
cassarah,f
cassia,f
cassian,m
cassidy,"f,m"
Cassie,f
cassiopea,f
Cassiopee,f
cassiopeia,f
cassius,m
Castille,f
castor,m
catahecassa,m
cätälin,m
catalina,f
catarina,f
cate,f
caterina,f
cathair,m
cathal,m
cathán,m
cathaoir,m
catharine,f
catherina,f
Catherine,f
cathleen,f
cathryn,f
cathy,f
catina,f
catrin,f
catrina,f
catriona,f
cayetano,m
cayley,f
ceallach,m
ceallagh,m
ceara,f
cearbhall,m
cearra,f
cebrián,m
cecelia,f
cecil,m
Cecile,f
Cécile,f
Cecilia,f
cecília,f
Cécilia,f
cecilija,f
cecilio,m
cecily,f
cedar,f
Cedric,m
Cédric,m
cees,m
ceinwen,f
celandine,f
Celeste,f
céleste,f
Celestin,m
célestin,m
celestina,f
Celestine,f
célestine,f
celestino,m
Celia,f
Célia,f
Celian,m
Célian,m
Celina,f
Celine,f
Céline,f
celino,m
celio,m
celso,m
celyn,m
cenek,m
cephalus,m
cephas,m
cepheus,m
cerberus,m
ceren,f
ceres,f
ceri,"m,f"
ceridwen,f
Cerise,f
cernunnos,m
cerridwyn,f
cerys,f
cesaire,m
Cesar,m
César,m
cesare,m
cezar,m
chad,m
chadwick,m
Chahine,m
Chahinez,f
Chaï,m
chaim,m
Chaïma,f
chalchiuhticue,f
chalice,f
chanah,f
chance,"f,m"
chanda,"f,m"
chandan,m
chandana,"m,f"
chander,m
chandler,m
chandra,"f,m"
chandrakant,m
chandrakanta,f
Chanel,f
chang,m
chania,f
channah,f
channing,m
Chantal,f
chanté,f
chantel,f
chantelle,f
chao,m
chara,f
charalampos,m
charis,f
charissa,f
charita,f
charity,f
charla,f
charlene,f
Charlène,f
Charles,m
charley,"f,m"
Charlie,m
Charline,f
Charlize,f
charlot,m
charlotta,f
Charlotte,f
charlton,m
Charly,m
charmaine,f
charmian,f
charna,f
charnette,f
charo,f
chas,m
chase,m
chasity,f
chastity,f
chatzkel,m
chau,f
chauncey,m
chava,f
chaya,f
chayim,m
Chayma,f
chaz,m
che,m
Cheick,m
Cheick-Oumar,m
Cheikh,m
chelle,f
chelo,f
Chelsea,f
chelsey,f
chelsie,f
chenaniah,m
chenda,f
cheng,m
cher,f
cherette,f
cheri,f
cherice,f
cherie,f
cherilyn,f
cherise,f
cherish,f
chernobog,m
cherokee,"f,m"
cherry,f
cheryl,f
chesed,f
chesley,m
chester,m
chet,m
chetana,m
chevonne,f
cheyanne,f
cheyenne,"f,m"
chi,f
Chiara,f
chiarina,f
chibuzo,"m,f"
chiela,f
chika,f
chikako,f
